Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2016-02-17,,,
,,,,
Country Name,Country Code,Indicator Name,2012,2013
Nigeria,NGA,"Agricultural machinery, tractors",,
Nigeria,NGA,Fertilizer consumption (% of fertilizer production),225.687257484352,342.633605072464
Nigeria,NGA,Fertilizer consumption (kilograms per hectare of arable land),11.3833428571429,17.8008235294118
Nigeria,NGA,Agricultural land (sq. km),720000,708000
Nigeria,NGA,Agricultural land (% of land area),79.0539872854837,77.7364208307256
Nigeria,NGA,Arable land (hectares),35000000,34000000
Nigeria,NGA,Arable land (hectares per person),0.208035640523281,0.196740453923163
Nigeria,NGA,Arable land (% of land area),38.4290215971101,37.3310495514784
Nigeria,NGA,Land under cereal production (hectares),15298290,17545000
Nigeria,NGA,Permanent cropland (% of land area),7.35641270573251,7.13681829660617
Nigeria,NGA,Land area where elevation is below 5 meters (% of total land area),,
Nigeria,NGA,Forest area (sq. km),82218,78122
Nigeria,NGA,Forest area (% of land area),9.02730656477486,8.57757721488411
Nigeria,NGA,Agricultural irrigated land (% of total agricultural land),,
Nigeria,NGA,Average precipitation in depth (mm per year),1150,
